name,bus0,bus1,p_nom,2020,2025,2030,2035,2040,2045,2050
T0,ES1 0,FR1 4,2000,0.0,0.0,1,opt,opt,opt,opt
T0-reversed,FR1 4,ES1 0,2000,0.0,0.0,1,opt,opt,opt,opt
T3,IE5 0,FR1 4,700,0.0,0.0,1,opt,opt,opt,opt
T3-reversed,FR1 4,IE5 0,700,0.0,0.0,1,opt,opt,opt,opt
T4,GB0 0,BE1 0,1400,0.0,0.0,1,opt,opt,opt,opt
T4-reversed,BE1 0,GB0 0,1400,0.0,0.0,1,opt,opt,opt,opt
T5,DE1 5,DE1 4,2000,0.0,1,opt,opt,opt,opt,opt
T5-reversed,DE1 4,DE1 5,2000,0.0,1,opt,opt,opt,opt,opt
T6,DE1 3,DE1 2,2400,0.0,0.0,1,opt,opt,opt,opt
T6-reversed,DE1 2,DE1 3,2400,0.0,0.0,1,opt,opt,opt,opt
T7,FR1 4,GB0 1,1250,0.0,0.0,1,opt,opt,opt,opt
T7-reversed,GB0 1,FR1 4,1250,0.0,0.0,1,opt,opt,opt,opt
T8,LT6 0,PL1 2,700,0.0,0.0,1,opt,opt,opt,opt
T8-reversed,PL1 2,LT6 0,700,0.0,0.0,1,opt,opt,opt,opt
T9,IT1 1,CH1 0,1000,0.0,0.0,1,opt,opt,opt,opt
T9-reversed,CH1 0,IT1 1,1000,0.0,0.0,1,opt,opt,opt,opt
T10+1,DE1 7,SE2 0,700,0.0,0.0,1,opt,opt,opt,opt
T10+1-reversed,SE2 0,DE1 7,700,0.0,0.0,1,opt,opt,opt,opt
T13,DE1 1,DE1 6,4000,0.0,0.0,1,opt,opt,opt,opt
T13-reversed,DE1 6,DE1 1,4000,0.0,0.0,1,opt,opt,opt,opt
T14,GB0 0,FR1 2,2075,0.0,0.0,1,opt,opt,opt,opt
T14-reversed,FR1 2,GB0 0,2075,0.0,0.0,1,opt,opt,opt,opt
T15,DE1 2,DE1 6,2000,0.0,0.0,1,opt,opt,opt,opt
T15-reversed,DE1 6,DE1 2,2000,0.0,0.0,1,opt,opt,opt,opt
T16,ES1 2,FR1 0,2000,0.0,0.0,1,opt,opt,opt,opt
T16-reversed,FR1 0,ES1 2,2000,0.0,0.0,1,opt,opt,opt,opt
T17,ES1 2,FR1 0,2000,0.0,0.0,1,opt,opt,opt,opt
T17-reversed,FR1 0,ES1 2,2000,0.0,0.0,1,opt,opt,opt,opt
T18,GB0 0,FR1 2,1400,0.0,1,opt,opt,opt,opt,opt
T18-reversed,FR1 2,GB0 0,1400,0.0,1,opt,opt,opt,opt,opt
T19,IE5 0,GB0 1,504,0.0,1,opt,opt,opt,opt,opt
T19-reversed,GB0 1,IE5 0,504,0.0,1,opt,opt,opt,opt,opt
T20,IT3 0,IT1 3,400,0.0,0.0,1,opt,opt,opt,opt
T20-reversed,IT1 3,IT3 0,400,0.0,0.0,1,opt,opt,opt,opt
T21,GB0 0,DE1 3,1400,0.0,0.0,1,opt,opt,opt,opt
T21-reversed,DE1 3,GB0 0,1400,0.0,0.0,1,opt,opt,opt,opt
T22,ME1 0,IT1 3,1000,0.0,0.0,1,opt,opt,opt,opt
T22-reversed,IT1 3,ME1 0,1000,0.0,0.0,1,opt,opt,opt,opt
T24,IT1 0,IT1 2,1000,0.0,0.0,1,opt,opt,opt,opt
T24-reversed,IT1 2,IT1 0,1000,0.0,0.0,1,opt,opt,opt,opt
T25,GB0 1,IE5 0,750,0.0,0.0,1,opt,opt,opt,opt
T25-reversed,IE5 0,GB0 1,750,0.0,0.0,1,opt,opt,opt,opt
T27,DE1 1,DE1 2,2000,0.0,0.0,0.0,1,opt,opt,opt
T27-reversed,DE1 2,DE1 1,2000,0.0,0.0,0.0,1,opt,opt,opt
